name,type,star_rating,review_sum,address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,contact
라온,요리주점,0.0,326,서울 마포구 동교로 266-6 반지층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-24:00,정보 없음,02-2088-6244
바란스,술집,0.0,441,서울 마포구 동교로 266-5 1층,휴무,정보 없음,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,01:40,17:00-27:00,정보 없음,010-8441-4846
청화접,요리주점,0.0,정보 없음,서울 마포구 동교로 268 지하1층 청화접,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-24:00,23:00,0507-1333-6580
란콰이진 연남본점,요리주점,4.89,1502,서울 마포구 성미산로29안길 27-6 1층,휴무,정보 없음,정보 없음,정보 없음,17:00-23:30,23:00,17:00-23:30,23:00,17:00-23:30,23:00,16:00-25:00,00:30,16:00-23:30,정보 없음,0507-1439-0774
소주방,요리주점,4.5,988,"서울 마포구 동교로 266-12 1층,2층",17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-26:00,정보 없음,16:00-26:00,정보 없음,17:00-24:00,정보 없음,0507-1351-0896
꼬요식당,요리주점,4.83,769,서울 마포구 동교로 275-1 꼬요식당,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-25:00,00:00,0507-1410-8917
화담,요리주점,0.0,852,서울 마포구 성미산로 149-8 1층 화담,17:00-24:00,22:30,17:00-24:00,15:00 - 17:00 브레이크타임,17:00-24:00,15:00 - 17:00 브레이크타임,17:00-24:00,15:00 - 17:00 브레이크타임,17:00-24:00,15:00 - 17:00 브레이크타임,17:00-24:00,15:00 - 17:00 브레이크타임,17:00-24:00,22:30,0507-1407-9076
요코쵸,이자카야,4.5,1441,서울 마포구 성미산로 161-15 1층,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,17:00-23:50,22:50,02-324-8875
전주상회,요리주점,4.46,754,서울 마포구 성미산로 195 106호,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,0507-1397-9777
연주방,요리주점,4.51,905,서울 마포구 동교로46길 7 주차장 쪽 반지층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,16:00-25:00,정보 없음,16:00-25:00,정보 없음,16:00-24:00,정보 없음,010-4346-4026
