name,type,star_rating,review_sum,address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,contact
오늘와인한잔 강남역1번출구점,와인,4.7,590,서울 강남구 테헤란로4길 6 센트럴푸루지오시티 2층 217호,15:00-30:00,정보 없음,15:00-30:00,정보 없음,15:00-30:00,정보 없음,15:00-30:00,정보 없음,15:00-30:00,정보 없음,15:00-30:00,정보 없음,15:00-30:00,정보 없음,02-555-9132
FR13ND PUB,"맥주,호프",4.7,590,서울 강남구 논현로71길 8 1층 FR13ND PUB,19:00-25:00,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,20:00-24:00,정보 없음,휴무,정보 없음,0507-1338-4798
밤별 포차 라운지 본점,요리주점,4.42,37,"서울 강남구 강남대로102길 13-8 1층, 2층",15:00-26:00,정보 없음,15:00-26:00,정보 없음,15:00-26:00,정보 없음,15:00-26:00,정보 없음,15:00-26:00,정보 없음,15:00-26:00,정보 없음,15:00-26:00,정보 없음,0507-1350-0024
소보키 강남점,요리주점,0.0,정보 없음,서울 강남구 봉은사로18길 80 1층,11:30-24:00,14:00 - 15:00 브레이크타임,11:30-24:00,14:00 - 15:00 브레이크타임,11:30-24:00,14:00 - 15:00 브레이크타임,11:30-24:00,14:00 - 15:00 브레이크타임,11:30-24:00,14:00 - 15:00 브레이크타임,11:30-24:00,14:00 - 15:00 브레이크타임,11:30-24:00,14:00 - 15:00 브레이크타임,0507-1353-0094
츄라우미 역삼본점,이자카야,4.43,정보 없음,서울 강남구 언주로93길 21 남전타운,17:30-27:00,정보 없음,17:30-27:00,정보 없음,17:30-27:00,정보 없음,17:30-27:00,정보 없음,17:30-27:00,정보 없음,17:30-27:00,정보 없음,휴무,정보 없음,0507-1425-7771
수지상회 강남1호점,요리주점,4.43,정보 없음,서울 강남구 테헤란로1길 17 2층,16:00-29:00,정보 없음,16:00-29:00,정보 없음,16:00-29:00,정보 없음,16:00-29:00,정보 없음,16:00-29:00,정보 없음,15:00-29:00,정보 없음,15:00-29:00,정보 없음,0507-1366-6974
랭맥,"맥주,호프",4.3,928,서울 강남구 강남대로78길 8 2층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,휴무,01:00,0507-1315-2129
엠투포차 강남역점,요리주점,4.3,928,서울 강남구 테헤란로1길 28-5 지상1층,11:00-27:00,정보 없음,11:00-27:00,정보 없음,11:00-27:00,정보 없음,11:00-27:00,정보 없음,11:00-27:00,정보 없음,11:00-27:00,정보 없음,15:00-27:00,정보 없음,0507-1330-0282
왕스펍,"맥주,호프",4.88,정보 없음,서울 강남구 강남대로98길 11 메트로빌딩 1층,14:00-25:00,00:30,14:00-25:00,00:30,14:00-25:00,00:30,14:00-25:00,00:30,14:00-25:00,00:30,14:00-25:00,00:30,14:00-25:00,00:30,0507-1396-2888
블루문 탭하우스,"맥주,호프",4.4,1323,서울 강남구 언주로94길 5 1층 블루문탭하우스,11:30-24:00,15:00 - 17:00 브레이크타임,11:30-24:00,15:00 - 17:00 브레이크타임,11:30-24:00,15:00 - 17:00 브레이크타임,11:30-24:00,15:00 - 17:00 브레이크타임,11:30-24:00,15:00 - 17:00 브레이크타임,18:00-23:00,21:30,휴무,15:00 - 17:00 브레이크타임,0507-1397-0340
나즈드라비,"맥주,호프",4.61,503,서울 강남구 강남대로 442 흥국생명빌딩,14:30-26:00,정보 없음,14:30-26:00,정보 없음,14:30-26:00,정보 없음,14:30-26:00,정보 없음,14:30-27:00,정보 없음,14:30-26:00,정보 없음,14:00-25:00,정보 없음,0507-1307-5093
뉴홍콩,요리주점,4.65,1079,서울 강남구 봉은사로2길 16 2층 뉴홍콩,11:30-24:00,15:00 - 17:00 브레이크타임,11:30-24:00,15:00 - 17:00 브레이크타임,11:30-24:00,15:00 - 17:00 브레이크타임,11:30-24:00,15:00 - 17:00 브레이크타임,11:30-24:00,15:00 - 17:00 브레이크타임,11:30-24:00,15:00 - 17:00 브레이크타임,17:00-24:00,15:00 - 17:00 브레이크타임,0507-1327-1932
강남비치,"맥주,호프",0.0,176,서울 강남구 강남대로96길 20 혜진빌딩 2층,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,02-552-9662
낙타브루잉,"맥주,호프",4.22,662,서울 강남구 강남대로106길 14 지하1층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,16:00-25:00,정보 없음,16:00-24:00,정보 없음,02-6015-8500
29펍 Tokyo Elegant 4호점,요리주점,4.22,662,서울 강남구 강남대로110길 14,18:00-26:00,00:30,18:00-26:00,00:30,18:00-26:00,00:30,18:00-26:00,00:30,18:00-27:00,01:30,18:00-27:00,01:30,18:00-26:00,00:30,0507-1306-2904
너무한육회연어,요리주점,4.6,610,서울 강남구 테헤란로1길 19 B2,16:00-24:00,22:50,16:00-24:00,22:50,16:00-24:00,22:50,16:00-24:00,22:50,16:00-24:00,22:50,16:00-24:00,22:50,16:00-24:00,22:50,02-557-8885
경성야시장,이자카야,4.56,1434,서울 강남구 강남대로98길 16,16:30-26:30,정보 없음,16:30-26:30,정보 없음,16:30-26:30,정보 없음,16:30-26:30,정보 없음,16:30-26:30,정보 없음,16:30-26:30,정보 없음,16:30-26:30,정보 없음,0507-1406-7557
센민이자카야,이자카야,4.05,679,서울 강남구 테헤란로25길 35,11:30-24:30,14:00 - 17:30 브레이크타임,11:30-24:30,14:00 - 17:30 브레이크타임,11:30-24:30,14:00 - 17:30 브레이크타임,11:30-24:30,14:00 - 17:30 브레이크타임,11:30-24:30,14:00 - 17:30 브레이크타임,17:30-24:30,정보 없음,휴무,14:00 - 17:30 브레이크타임,02-555-8160
켄홈1991,이자카야,4.32,562,서울 강남구 역삼로 109 SK허브젠 1층 104호 켄홈1991,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,휴무,정보 없음,010-3239-7594
센야 본점,이자카야,4.75,250,서울 강남구 역삼로9길 25 1층,정보 없음,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,휴무,정보 없음,02-538-5827
아이러브펍,"맥주,호프",4.55,310,서울 강남구 테헤란로4길 45 1층 아이러브펍,15:00-27:00,정보 없음,15:00-27:00,정보 없음,15:00-27:00,정보 없음,15:00-28:00,정보 없음,15:00-28:00,정보 없음,15:00-28:00,정보 없음,15:00-26:00,정보 없음,0507-1396-8028
